Fi'l,Mudari,Masdar,Bengali,Baab,Amr,Nahi
اِتَّبَعَ,يَتَّبِعُ,الّاِتََِّعاُ,অনুুসরণ করা,الاِفْتِعَال,اِتَّبِعْ,لا تَتَّبِعْ
اِجْتَهَدَ,يَجْتَهِدُ,اَلْاِجْتِهَادُ,প্রচেষ্টা করা,الاِفْتِعَال,اِجْتَهِدْ,لا تَجْتَهِدْ
اِعْتَقَدَ,يَعْتَقِدُ,اَلْاِعْتِقَادُ,বিশ্বাস করা,الاِفْتِعَال,اِعْتَقِدْ,لا تَعْتَقِدْ
اِجْتَمَعَ,يَجْتَمِعُ,اَلْاِجْتِمَاعُ,একত্র হওয়া,الاِفْتِعَال,اِجْتَمِعْ,لا تَجْتَمِعْ
اِبْتَسَمَ,يَبْتَسِمُ,اَلْاِبْتِسَامُ,মুচকি হাসা,الاِفْتِعَال,اِبْتَسِمْ,لا تَبْتَسِمْ
اِعْتَرَفَ,يَعْتَرِفُ,اَلْاِعْتِرَافُ,স্বীকার করা,الاِفْتِعَال,اِعْتَرِفْ,لا تَعْتَرِفْ
اِنْتَقَمَ,يَنْتَقِمُ,اَلْاِنْتِقَامُ,প্রতিশোধ নেয়া,الاِفْتِعَال,اِنْتَقِمْ,لا تَنْتَقِمْ
اِحْتَاجَ,يَحْتَاجُ,اَلْاِحْتِيَاجُ,"প্রয়োজন অনুভব করা, চাওয়া",الاِفْتِعَال,اِحْتَجْ,لا تَحْتَجْ
اِرْتَاحَ,يَرْتَاحُ,اَلْاِرْتِيَاحُ,"আরাম পাওয়া, আনন্দ পাওয়া",الاِفْتِعَال,اِرْتَحْ,لا تَرْتَحْ
اِخْتَارَ,يَخْتَارُ,اَلْاِخْتِيَارُ,নির্বাচন করা,الاِفْتِعَال,اِخْتَرْ,لا تَخْتَرْ
اِهْتَدَى,يَهْتَدِي,اَلْاِهْتِدَاءُ,হেদায়েতপ্রাপ্ত হওয়া,الاِفْتِعَال,اِهْتَدِ,لا تَهْتَدِ
اِسْتَنْصَرَ,يَسْتَنْصِرُ,اَلْاِسْتِنْصَارُ,সাহায্য চাওয়া,اَلْاِسْتِفْعَال,اِسْتَنْصِرْ,لَا تَسْتَنْصِرْ
اِسْتَعْمَلَ,يَسْتَعْمِلُ,اَلْاِسْتِعْمَالُ,ব্যাবহার করা,اَلْاِسْتِفْعَال,اِسْتَعْمِلْ,لَا تَسْتَعْمِلْ
اِسْتَخْدَمَ,يَسْتَخْدِمُ,اَلْاِسْتِخْدَامُ,ব্যাবহার করা,اَلْاِسْتِفْعَال,اِسْتَخْدِمْ,لَا تَسْتَخْدِمْ
اِسْتَغْفَرَ,يَسْتَغْفِرُ,اَلْاِسْتِغْفَارُ,মাফ চাওয়া,اَلْاِسْتِفْعَال,اِسْتَغْفِرْ,لَا تَسْتَغْفِرْ
اِسْتَخْرَجَ,يَسْتَخْرِجُ,اَلْاِسْتِخْرَاجُ,বের করা,اَلْاِسْتِفْعَال,اِسْتَخْرِجْ,لَا تَسْتَخْرِجْ
اِسْتَبْدَلَ,يَسْتَبْدِلُ,اَلْاِسْتِبْدَالُ,পরিবর্তন করা,اَلْاِسْتِفْعَال,اِسْتَبْدِلْ,لَا تَسْتَبْدِلْ
اِسْتَقْبَلَ,يَسْتَقْبِلُ,اَلْاِسْتِقْبَالُ,স্বাগত জানানো,اَلْاِسْتِفْعَال,اِسْتَقْبِلْ,لَا تَسْتَقْبِلْ
اِسْتَفْهَمَ,يَسْتَفْهِمُ,اَلْاِسْتِفْهَامُ,প্রশ্ন করা/বুঝতে চাওয়া,اَلْاِسْتِفْعَال,اِسْتَفْهِمْ,لَا تَسْتَفْهِمْ
اِسْتَأْذَنَ,يَسْتَأْذِنُ,اَلْاِسْتِأْذَانُ,অনুমতি চাওয়া,اَلْاِسْتِفْعَال,اِسْتَأْذِنْ,لَا تَسْتَأْذِنْ
اِسْتَثْمَرَ,يَسْتَثْمِرُ,اَلْاِسْتِثْمَارُ,কাজে লাগানো,اَلْاِسْتِفْعَال,اِسْتَثْمِرْ,لَا تَسْتَثْمِرْ
اِسْتَخْلَفَ,يَسْتَخْلِفُ,اَلْاِسْتِخْلَافُ,উত্তরাধিকারী করা,اَلْاِسْتِفْعَال,اِسْتَخْلِفْ,لَا تَسْتَخْلِفْ
اِسْتَكْبَرَ,يَسْتَكْبِرُ,اَلْاِسْتِكْبَارُ,অহংকার করা,اَلْاِسْتِفْعَال,اِسْتَكْبِرْ,لَا تَسْتَكْبِرْ
اِسْتَفَادَ,يَسْتَفِيدُ,الْاِسْتِفَادَةُ,উপকৃত হওয়া,اَلْاِسْتِفْعَال,اِسْتَفِدْ,لَا تَسْتَفِدْ
اِسْتَجَابَ,يَسْتَجِيبُ,الْاِسْتِجَابَةُ,সাড়া দেয়া,اَلْاِسْتِفْعَال,اِسْتَجِبْ,لَا تَسْتَجِبْ
اِسْتَعَانَ,يَسْتَعِينُ,الْاِسْتِعَانةُ,সাহাায্য চাওয়া,اَلْاِسْتِفْعَال,اِسْتَعِنْ,لَا تَسْتَعِنْ
اِسْتَقَامَ,يَسْتَقِيمُ,الْاِسْتِقَامةُ,অটল থাকা,اَلْاِسْتِفْعَال,اِسْتَقِمْ,لَا تَسْتَقِمْ
اِسْتَحَقَّ,يَسْتَحِقُّ,الْاِسْتِحْقَاقُ,উপযুক্ত হওয়া,اَلْاِسْتِفْعَال,اِسْتَحِقَّ,لَا تَسْتَحِقَّ
اِسْتَقَرَّ,يَسْتَقِرُّ,الْاِسْتِقْرَارُ,অবস্থান করা,اَلْاِسْتِفْعَال,اِسْتَقِرَّ,لَا تَسْتَقِرَّ
اِسْتَحْيَا,يَسْتَحْيِي,الْاِسْتِحْيَاءُ,লজ্জা পাওয়া/বাচিয়ে রাখা,اَلْاِسْتِفْعَال,اِسْتَحْيِ,لَا تَسْتَحْيِ
